unitid,Total,Men,Women,Group
100654,1222,524,698,Incoming cohort (minus exclusions)
100654,343,120,223,Completers within 150% of normal time
100663,1587,623,964,Incoming cohort (minus exclusions)
100663,991,360,631,Completers within 150% of normal time
100690,6,3,3,Incoming cohort (minus exclusions)
100690,4,2,2,Completers within 150% of normal time
100706,1026,615,411,Incoming cohort (minus exclusions)
100706,623,343,280,Completers within 150% of normal time
100724,1006,394,612,Incoming cohort (minus exclusions)
100724,286,91,195,Completers within 150% of normal time
100751,7169,3000,4169,Incoming cohort (minus exclusions)
100751,5178,2103,3075,Completers within 150% of normal time
100830,566,210,356,Incoming cohort (minus exclusions)
100830,202,70,132,Completers within 150% of normal time
100858,4848,2273,2575,Incoming cohort (minus exclusions)
100858,3921,1757,2164,Completers within 150% of normal time
100937,441,220,221,Incoming cohort (minus exclusions)
100937,308,140,168,Completers within 150% of normal time
101116,22,3,19,Incoming cohort (minus exclusions)
101116,3,0,3,Completers within 150% of normal time
101189,277,160,117,Incoming cohort (minus exclusions)
101189,50,26,24,Completers within 150% of normal time
101435,251,148,103,Incoming cohort (minus exclusions)
101435,111,57,54,Completers within 150% of normal time
101480,1021,475,546,Incoming cohort (minus exclusions)
101480,507,201,306,Completers within 150% of normal time
101587,369,193,176,Incoming cohort (minus exclusions)
101587,137,58,79,Completers within 150% of normal time
101675,423,228,195,Incoming cohort (minus exclusions)
101675,101,38,63,Completers within 150% of normal time
101693,282,108,174,Incoming cohort (minus exclusions)
101693,145,47,98,Completers within 150% of normal time
101709,501,155,346,Incoming cohort (minus exclusions)
101709,259,72,187,Completers within 150% of normal time
101879,1156,475,681,Incoming cohort (minus exclusions)
101879,592,223,369,Completers within 150% of normal time
101912,335,142,193,Incoming cohort (minus exclusions)
101912,166,59,107,Completers within 150% of normal time
102049,825,288,537,Incoming cohort (minus exclusions)
102049,651,213,438,Completers within 150% of normal time
102058,139,75,64,Incoming cohort (minus exclusions)
102058,10,4,6,Completers within 150% of normal time
102094,2082,892,1190,Incoming cohort (minus exclusions)
102094,987,352,635,Completers within 150% of normal time
102234,415,166,249,Incoming cohort (minus exclusions)
102234,234,90,144,Completers within 150% of normal time
102270,232,136,96,Incoming cohort (minus exclusions)
102270,34,11,23,Completers within 150% of normal time
102298,236,132,104,Incoming cohort (minus exclusions)
102298,58,23,35,Completers within 150% of normal time
102368,1671,700,971,Incoming cohort (minus exclusions)
102368,872,303,569,Completers within 150% of normal time
102377,577,208,369,Incoming cohort (minus exclusions)
102377,331,108,223,Completers within 150% of normal time
102553,950,420,530,Incoming cohort (minus exclusions)
102553,327,138,189,Completers within 150% of normal time
102580,3,2,1,Incoming cohort (minus exclusions)
102580,1,1,0,Completers within 150% of normal time
102614,448,242,206,Incoming cohort (minus exclusions)
102614,215,121,94,Completers within 150% of normal time
102632,70,20,50,Incoming cohort (minus exclusions)
102632,24,7,17,Completers within 150% of normal time
102669,36,16,20,Incoming cohort (minus exclusions)
102669,8,4,4,Completers within 150% of normal time
104090,10,3,7,Incoming cohort (minus exclusions)
104090,2,0,2,Completers within 150% of normal time
104151,11270,6050,5220,Incoming cohort (minus exclusions)
104151,7440,3809,3631,Completers within 150% of normal time
104179,6961,3365,3596,Incoming cohort (minus exclusions)
104179,4479,2003,2476,Completers within 150% of normal time
104586,578,436,142,Incoming cohort (minus exclusions)
104586,404,298,106,Completers within 150% of normal time
104717,2452,966,1486,Incoming cohort (minus exclusions)
104717,1097,430,667,Completers within 150% of normal time
105330,4659,1724,2935,Incoming cohort (minus exclusions)
105330,2749,891,1858,Completers within 150% of normal time
105589,35,15,20,Incoming cohort (minus exclusions)
105589,14,7,7,Completers within 150% of normal time
105899,120,85,35,Incoming cohort (minus exclusions)
105899,43,22,21,Completers within 150% of normal time
106245,792,334,458,Incoming cohort (minus exclusions)
106245,312,109,203,Completers within 150% of normal time
106342,213,123,90,Incoming cohort (minus exclusions)
106342,97,49,48,Completers within 150% of normal time
106397,4862,2217,2645,Incoming cohort (minus exclusions)
106397,3388,1467,1921,Completers within 150% of normal time
106412,670,296,374,Incoming cohort (minus exclusions)
106412,273,93,180,Completers within 150% of normal time
106458,1514,697,817,Incoming cohort (minus exclusions)
106458,817,333,484,Completers within 150% of normal time
106467,1647,816,831,Incoming cohort (minus exclusions)
106467,795,387,408,Completers within 150% of normal time
106485,372,202,170,Incoming cohort (minus exclusions)
106485,115,57,58,Completers within 150% of normal time
106704,1986,754,1232,Incoming cohort (minus exclusions)
106704,981,338,643,Completers within 150% of normal time
106713,71,32,39,Incoming cohort (minus exclusions)
106713,30,11,19,Completers within 150% of normal time
106810,14,6,8,Incoming cohort (minus exclusions)
106810,4,1,3,Completers within 150% of normal time
107044,990,456,534,Incoming cohort (minus exclusions)
107044,665,293,372,Completers within 150% of normal time
107071,758,346,412,Incoming cohort (minus exclusions)
107071,282,107,175,Completers within 150% of normal time
107080,391,191,200,Incoming cohort (minus exclusions)
107080,285,134,151,Completers within 150% of normal time
107141,358,148,210,Incoming cohort (minus exclusions)
107141,252,94,158,Completers within 150% of normal time
107512,402,201,201,Incoming cohort (minus exclusions)
107512,267,126,141,Completers within 150% of normal time
107558,209,100,109,Incoming cohort (minus exclusions)
107558,102,51,51,Completers within 150% of normal time
107600,170,75,95,Incoming cohort (minus exclusions)
107600,48,20,28,Completers within 150% of normal time
107877,126,71,55,Incoming cohort (minus exclusions)
107877,40,24,16,Completers within 150% of normal time
107983,779,346,433,Incoming cohort (minus exclusions)
107983,312,121,191,Completers within 150% of normal time
108092,1027,470,557,Incoming cohort (minus exclusions)
108092,270,90,180,Completers within 150% of normal time
108232,575,242,333,Incoming cohort (minus exclusions)
108232,220,76,144,Completers within 150% of normal time
109651,174,63,111,Incoming cohort (minus exclusions)
109651,132,42,90,Completers within 150% of normal time
109785,1190,389,801,Incoming cohort (minus exclusions)
109785,851,251,600,Completers within 150% of normal time
110060,59,34,25,Incoming cohort (minus exclusions)
110060,9,6,3,Completers within 150% of normal time
110097,825,262,563,Incoming cohort (minus exclusions)
110097,577,176,401,Completers within 150% of normal time
110219,73,39,34,Incoming cohort (minus exclusions)
110219,20,12,8,Completers within 150% of normal time
110361,1075,433,642,Incoming cohort (minus exclusions)
110361,610,235,375,Completers within 150% of normal time
110370,240,87,153,Incoming cohort (minus exclusions)
110370,157,53,104,Completers within 150% of normal time
110404,240,129,111,Incoming cohort (minus exclusions)
